date,Mount Powell,Defiance Plateau,Black Mesa,Navajo Mountain,Carrizo,Chuska,Navajo_Nation,All_Mountains
1981-11-01,5.279,5.014,5.426,5.321,4.765,4.409,6.494,4.929
1981-12-01,0.855,0.532,1.185,0.786,-0.049,-0.07,1.804,0.498
1982-01-01,-1.92,-2.394,-1.458,-1.839,-2.737,-2.711,-0.787,-2.217
1982-02-01,-1.193,-1.569,-1.1,-0.939,-2.388,-2.671,0.45,-1.838
1982-03-01,3.661,2.654,3.146,3.008,2.804,2.02,5.588,2.627
1982-04-01,6.874,6.624,7.121,6.958,6.33,5.487,9.354,6.383
1982-05-01,10.656,10.113,11.853,12.165,11.179,9.653,13.885,10.627
1982-06-01,16.287,15.391,17.236,17.11,16.674,14.999,19.052,15.976
1982-07-01,19.218,18.925,20.713,20.911,20.322,18.167,22.651,19.373
1982-08-01,18.429,18.568,19.909,20.143,19.576,17.784,22.044,18.824
1982-09-01,15.578,15.379,16.87,16.522,16.105,14.762,18.515,15.713
1982-10-01,7.921,7.346,8.237,7.565,7.61,6.793,9.726,7.468
1982-11-01,2.641,2.321,2.451,2.289,1.957,1.586,4.122,2.09
1982-12-01,-1.933,-1.196,-0.549,-1.197,-1.396,-1.314,0.266,-1.063
1983-01-01,-1.53,-1.836,-0.774,-0.682,-1.806,-2.246,-0.248,-1.614
1983-02-01,-0.355,-0.055,1.131,0.902,-0.326,-0.741,2.493,0.075
1983-03-01,2.474,1.745,2.869,2.957,2.302,1.238,5.164,2.001
1983-04-01,3.681,3.473,4.36,4.737,3.939,2.653,6.645,3.535
1983-05-01,10.378,9.121,11.196,11.425,10.532,8.84,13.115,9.843
1983-06-01,15.727,15,16.76,17.197,15.855,14.446,18.671,15.479
1983-07-01,18.939,18.712,20.691,20.842,20.109,18.243,22.65,19.318
1983-08-01,18.693,18.478,20.366,20.635,20.328,18.03,22.377,19.097
1983-09-01,16.905,16.301,18.143,18.208,17.35,15.835,19.719,16.842
1983-10-01,9.967,9.453,10.809,10.669,10.098,9.101,12.212,9.836
1983-11-01,2.863,2.748,4.143,3.887,2.779,2.105,5.032,2.99
1983-12-01,-0.19,-0.205,0.303,-0.86,-1.418,-0.879,1.297,-0.38
1984-01-01,-2.089,-2.921,-1.762,-2.036,-3.347,-3.421,-1.227,-2.731
1984-02-01,-0.472,-1.288,0.264,-0.105,-1.172,-1.854,1.106,-0.952
1984-03-01,2.982,2.294,3.328,3.391,2.63,1.429,5.265,2.381
1984-04-01,5.22,4.837,5.83,6.21,5.235,3.803,8.046,4.859
1984-05-01,14.572,14.134,15.948,16.005,14.932,13.355,17.502,14.538
1984-06-01,16.917,16.184,17.922,17.47,17.147,15.537,19.797,16.614
1984-07-01,19.547,19.451,21.504,21.734,21.211,18.954,23.386,20.099
1984-08-01,18.013,18.123,20.039,20.223,19.581,17.486,21.937,18.651
1984-09-01,15.396,15.511,17.879,17.548,16.784,15.085,19.152,16.235
1984-10-01,6.315,5.752,6.89,6.676,6.333,5.278,8.657,6.016
1984-11-01,3.256,3.65,3.916,3.194,3.316,3.361,5.124,3.594
1984-12-01,0.135,-0.657,-0.255,-1.585,-0.848,-0.928,0.786,-0.645
1985-01-01,-1.814,-2.628,-1.885,-2.423,-2.736,-3.087,-0.765,-2.544
1985-02-01,-2.484,-2.859,-1.536,-1.842,-2.964,-3.65,-0.125,-2.698
1985-03-01,3.475,2.961,3.807,3.181,3.185,2.322,5.867,3.037
1985-04-01,8.094,8.271,9.472,9.668,8.731,7.575,11.176,8.468
1985-05-01,12.318,12.245,13.976,13.896,13.06,11.754,15.556,12.711
1985-06-01,18.015,17.943,19.992,19.695,18.862,17.15,21.364,18.415
1985-07-01,19.756,19.928,22.087,21.955,21.501,19.575,23.816,20.633
1985-08-01,18.812,19.286,21.413,21.449,20.292,18.667,22.826,19.847
1985-09-01,13.405,12.977,14.598,14.437,13.556,12.369,16.238,13.354
1985-10-01,9.829,9.205,10.598,9.974,9.569,8.76,11.803,9.539
1985-11-01,3.223,2.84,2.748,2.307,1.854,1.978,4.518,2.442
1985-12-01,0.701,-0.241,0.643,-0.044,-0.84,-0.944,0.734,-0.23
1986-01-01,2.381,2,2.519,2.045,1.207,1.387,2.85,1.902
1986-02-01,1.584,2.049,2.933,2.25,1.542,1.118,4.168,1.966
1986-03-01,5.686,4.81,6.377,6.192,5.499,4.286,7.849,5.212
1986-04-01,8.286,7.273,8.082,8.171,7.299,6.317,10.28,7.238
1986-05-01,12.404,11.452,13.165,13.226,12.004,10.816,15.036,11.861
1986-06-01,17.521,17.418,19.443,19.748,17.957,16.621,20.945,17.866
1986-07-01,18.567,18.634,20.505,20.799,19.287,17.835,22.289,19.036
1986-08-01,19.363,19.724,21.5,21.52,20.427,18.843,23.2,20.06
1986-09-01,13.874,13.687,14.828,14.453,13.745,12.88,16.641,13.791
1986-10-01,8.464,7.657,8.927,8.158,8.057,7.171,10.286,7.939
1986-11-01,3.141,3.198,3.989,3.684,2.604,2.294,5.104,3.102
1986-12-01,-0.367,-0.915,0.162,-0.779,-1.04,-1.27,0.746,-0.699
1987-01-01,-2.431,-2.972,-2.236,-2.721,-3.081,-3.334,-1.739,-2.861
1987-02-01,-1.127,-0.46,0.63,0.017,-0.336,-1.052,1.963,-0.315
1987-03-01,1.188,0.942,1.746,1.534,0.884,-0.024,3.715,0.876
1987-04-01,7.623,8.03,9.501,9.807,8.39,7.143,11.028,8.242
1987-05-01,11.264,10.928,12.884,12.956,11.85,10.443,14.643,11.486
1987-06-01,17.451,18.035,20.076,19.424,18.689,17.291,21.166,18.483
1987-07-01,18.684,19.052,20.876,20.43,19.944,18.273,22.442,19.442
1987-08-01,17.33,18.019,19.578,19.479,18.491,17.043,21.331,18.226
1987-09-01,14.439,14.648,16.935,16.626,15.544,14.02,17.932,15.248
1987-10-01,11.326,11.136,12.802,12.002,10.995,10.35,13.516,11.396
1987-11-01,2.497,2.305,3.065,2.708,1.913,1.334,4.28,2.194
1987-12-01,-2.189,-2.482,-1.842,-2.593,-2.978,-2.908,-1.207,-2.462
1988-01-01,-3.474,-4.363,-3.272,-2.597,-4.75,-5.092,-2.732,-4.249
1988-02-01,0.736,0.264,1.245,1.392,-0.505,-0.841,2.413,0.168
1988-03-01,2.506,2.426,3.653,3.223,2.594,1.271,5.197,2.446
1988-04-01,6.682,6.984,7.978,8.083,7.103,5.832,9.775,6.929
1988-05-01,11.976,11.351,12.849,12.852,12.021,10.701,14.761,11.687
1988-06-01,17.04,17.719,19.385,19.391,18.515,17.141,21.109,18.122
1988-07-01,19.315,20.001,22.381,22.613,21.087,19.287,23.879,20.62
1988-08-01,18.059,18.536,20.151,20.407,19.277,17.78,22.084,18.867
1988-09-01,13.878,14.15,15.638,15.711,14.617,13.254,17.228,14.37
1988-10-01,11.633,11.981,13.668,13.265,12.375,11.399,14.365,12.357
1988-11-01,4.457,3.769,4.22,3.273,2.536,2.616,5.347,3.428
1988-12-01,-2.078,-2.205,-1.118,-1.883,-2.472,-2.936,-0.493,-2.127
1989-01-01,-2.893,-3.613,-3.467,-3.976,-4.281,-4.272,-2.576,-3.836
1989-02-01,0.691,-0.224,-0.46,-0.908,-1.924,-1.353,1.528,-0.805
1989-03-01,6.168,6.08,7.313,7.05,6.444,5.098,8.832,6.178
1989-04-01,11.45,11.152,11.873,12.043,10.677,9.942,13.595,10.954
1989-05-01,14.245,13.392,14.495,14.365,13.833,12.75,16.487,13.584
1989-06-01,17.421,17.41,18.737,18.398,17.73,16.482,20.462,17.552
1989-07-01,20.365,20.873,22.663,22.855,21.815,20.28,24.396,21.33
1989-08-01,18.19,18.569,20.074,19.985,18.997,17.703,21.851,18.797
1989-09-01,16.1,16.12,17.305,17.141,16.557,15.512,18.896,16.334
1989-10-01,9.824,9.394,10.517,10.228,9.702,8.883,11.885,9.616
1989-11-01,3.639,3.773,4.832,4.891,3.614,2.731,5.366,3.758
1989-12-01,-0.215,-1.22,0.078,0.162,-1.294,-1.883,0.077,-1.002
1990-01-01,-2.563,-2.32,-1.706,-1.917,-3.04,-3.214,-1.282,-2.482
1990-02-01,-0.994,-1.038,-0.03,-0.337,-1.088,-1.888,1.202,-1.002
1990-03-01,3.859,3.855,5.028,5.138,4.033,3.139,6.946,4.016
1990-04-01,8.321,8.85,9.669,9.977,8.813,7.645,11.582,8.708
1990-05-01,11.925,11.639,12.704,12.82,11.714,10.731,14.693,11.697
1990-06-01,19.651,19.037,20.45,20.491,19.851,18.596,22.214,19.426
1990-07-01,18.875,19.717,21.677,21.774,20.727,18.849,23.46,20.134
1990-08-01,17.23,17.905,19.891,20.177,18.981,17.292,21.555,18.429
1990-09-01,15.746,16.134,17.55,17.745,17.182,15.58,19.469,16.49
1990-10-01,9.488,9.532,10.387,10.456,9.399,8.539,11.804,9.469
1990-11-01,3.781,3.134,3.428,3.719,2.801,2.354,4.905,2.959
1990-12-01,-2.891,-5.331,-4.845,-4.555,-5.831,-6.168,-4.139,-5.444
1991-01-01,-2.605,-3.823,-3.788,-3.049,-4.886,-4.898,-2.767,-4.218
1991-02-01,1.725,1.333,1.831,2.661,0.845,0.046,3.062,1.05
1991-03-01,1.641,1.259,1.907,1.476,1.026,0.717,4.129,1.27
1991-04-01,6.779,6.399,6.74,6.792,5.974,5.298,9.057,6.115
1991-05-01,11.946,10.755,12.207,11.823,11.55,10.399,14.077,11.185
1991-06-01,15.51,15.532,17.318,17.409,16.509,14.983,19.071,16.011
1991-07-01,18.591,19.289,21.442,21.51,20.305,18.601,23.16,19.833
1991-08-01,18.501,18.998,20.553,20.844,19.827,18.142,22.484,19.282
1991-09-01,15.566,15.508,17.093,17.052,15.943,14.73,18.615,15.801
1991-10-01,11.584,10.963,12.021,11.791,11.187,10.248,13.359,11.093
1991-11-01,2.288,2.495,2.645,2.846,1.395,1.273,3.971,2.05
1991-12-01,-1.979,-3.044,-2.272,-1.711,-2.969,-3.619,-1.318,-2.948
1992-01-01,-4.328,-5.322,-4.126,-3.097,-3.885,-5.638,-3.204,-4.888
1992-02-01,0.237,0.514,0.852,1.001,0.279,-0.316,2.782,0.326
1992-03-01,3.596,3.539,4.345,4.102,4.131,2.948,6.469,3.645
1992-04-01,9.562,9.537,11.007,11.308,10.043,8.644,12.618,9.765
1992-05-01,12.301,11.917,13.389,13.72,12.754,11.238,15.46,12.25
1992-06-01,15.957,15.993,17.722,17.676,16.572,15.053,19.326,16.288
1992-07-01,18.285,18.215,19.983,20.399,19.167,17.368,21.907,18.594
1992-08-01,18.142,18.053,19.974,20.544,19.324,17.398,21.785,18.575
1992-09-01,15.187,15.501,17.14,16.991,15.975,14.71,18.372,15.802
1992-10-01,10.885,11.053,12.614,12.33,11.411,10.524,13.533,11.408
1992-11-01,-0.708,-0.127,1.036,1.153,-0.211,-1.138,2.078,-0.098
1992-12-01,-4.054,-4.658,-4.058,-3.728,-4.804,-5.026,-3.5,-4.578
1993-01-01,-0.492,-0.505,-0.561,-1.882,-1.252,-0.828,1.215,-0.716
1993-02-01,-0.069,0.688,0.597,-0.668,-0.663,-0.522,2.623,0.109
1993-03-01,2.924,3.589,4.918,4.889,3.94,2.625,6.506,3.717
1993-04-01,6.872,7.35,8.488,8.491,7.085,6.109,10.213,7.279
1993-05-01,11.766,11.659,13.577,13.777,12.243,11.192,15.268,12.184
1993-06-01,15.905,16.358,17.944,17.538,16.925,15.589,19.516,16.648
1993-07-01,18.826,18.908,21,21.202,20.189,18.429,22.692,19.536
1993-08-01,17.445,18.146,19.738,20.163,18.936,17.328,21.618,18.452
1993-09-01,13.853,14.416,16.701,17.052,15.306,13.816,17.752,15.032
1993-10-01,8.207,8.592,9.925,9.789,8.759,7.94,11.1,8.815
1993-11-01,0.846,1.014,2.017,2.076,0.674,0.152,2.902,1.027
1993-12-01,-1.695,-1.896,-0.77,-1.245,-1.952,-2.401,-0.316,-1.706
1994-01-01,-1.223,-0.827,0.264,-0.085,-0.636,-1.117,0.396,-0.565
1994-02-01,-1.852,-1.203,-0.497,-1.035,-2.024,-2.168,0.763,-1.379
1994-03-01,3.894,4.261,5.789,6.005,4.996,3.593,7.343,4.593
1994-04-01,6.754,7.013,8.451,8.696,7.489,6.201,10.314,7.25
1994-05-01,11.719,11.572,13.548,13.662,12.513,11.074,15.149,12.131
1994-06-01,18.784,19.15,21.499,21.518,20.187,18.508,22.67,19.781
1994-07-01,19.743,20.59,22.936,23.155,21.93,19.99,24.363,21.253
1994-08-01,19.447,20.292,22.201,22.519,21.5,19.628,24.058,20.781
1994-09-01,14.211,15.384,17.294,17.626,16.468,14.934,18.699,15.931
1994-10-01,7.861,8.399,9.897,9.572,8.589,7.902,11.019,8.724
1994-11-01,1.55,1.125,1.455,0.667,0.336,0.352,3.051,0.905
1994-12-01,-0.487,-0.361,0.264,-0.496,-0.998,-0.769,1.14,-0.358
1995-01-01,-2.299,-1.573,-0.734,-1.946,-2.198,-2.126,0.36,-1.567
1995-02-01,2.81,3.872,5.135,4.915,3.438,3.086,5.881,3.969
1995-03-01,3.556,3.663,4.702,4.383,3.905,2.894,6.73,3.756
1995-04-01,4.828,5.256,6.703,6.911,5.731,4.377,8.463,5.47
1995-05-01,9.724,9.341,10.872,10.727,9.639,8.503,12.81,9.589
1995-06-01,14.716,15.447,16.713,16.142,15.86,14.746,18.526,15.635
1995-07-01,18.297,19.213,21.461,21.501,20.416,18.725,22.897,19.866
1995-08-01,19.175,20.188,22.51,22.705,21.217,19.512,23.991,20.791
1995-09-01,14.828,15.936,17.923,18.315,16.694,15.364,19.238,16.445
1995-10-01,8.526,8.817,11.319,10.878,9.816,8.418,11.736,9.569
1995-11-01,4.481,5.17,6.378,7.034,4.931,4.635,7.154,5.373
