"DateTime","(deg C) Max Temperature (gridMET) at 1, 2005-01-01 to 2014-12-28"
"2005-01-01",9.539
"2005-01-02",9.912
"2005-01-03",9.3563
"2005-01-04",7.9302
"2005-01-05",2.6013
"2005-01-06",1.4059
"2005-01-07",1.5201
"2005-01-08",5.8372
"2005-01-09",8.6858
"2005-01-10",10.7214
"2005-01-11",11.6645
"2005-01-12",5.7036
"2005-01-13",4.4333
"2005-01-14",6.7157
"2005-01-15",5.7704
"2005-01-16",7.4175
"2005-01-17",7.5361
"2005-01-18",8.5627
"2005-01-19",9.785
"2005-01-20",11.7449
"2005-01-21",12.2688
"2005-01-22",12.6238
"2005-01-23",13.2497
"2005-01-24",11.0117
"2005-01-25",12.3278
"2005-01-26",11.9093
"2005-01-27",10.0479
"2005-01-28",9.3415
"2005-01-29",8.8962
"2005-01-30",7.1164
"2005-01-31",5.6974
"2005-02-01",4.3396
"2005-02-02",4.5969
"2005-02-03",5.9591
"2005-02-04",8.3429
"2005-02-05",8.7849
"2005-02-06",8.8365
"2005-02-07",5.6164
"2005-02-08",4.8843
"2005-02-09",5.6388
"2005-02-10",9.0346
"2005-02-11",9.2256
"2005-02-12",9.8332
"2005-02-13",10.9424
"2005-02-14",11.7883
"2005-02-15",10.647
"2005-02-16",11.5339
"2005-02-17",13.2666
"2005-02-18",9.9412
"2005-02-19",9.9041
"2005-02-20",8.0699
"2005-02-21",10.0001
"2005-02-22",10.5485
"2005-02-23",9.3609
"2005-02-24",9.1854
"2005-02-25",7.4625
"2005-02-26",8.2992
"2005-02-27",9.3275
"2005-02-28",11.9271
"2005-03-01",11.9588
"2005-03-02",12.7981
"2005-03-03",11.3267
"2005-03-04",13.0217
"2005-03-05",12.8794
"2005-03-06",14.2806
"2005-03-07",15.2968
"2005-03-08",15.3248
"2005-03-09",17.7662
"2005-03-10",17.9656
"2005-03-11",17.6488
"2005-03-12",19.426
"2005-03-13",15.0898
"2005-03-14",9.644
"2005-03-15",5.2343
"2005-03-16",8.9769
"2005-03-17",12.6368
"2005-03-18",11.7595
"2005-03-19",9.1749
"2005-03-20",10.7771
"2005-03-21",10.763
"2005-03-22",13.8664
"2005-03-23",12.9041
"2005-03-24",10.6552
"2005-03-25",8.755
"2005-03-26",9.6042
"2005-03-27",15.2027
"2005-03-28",18.5153
"2005-03-29",10.8364
"2005-03-30",7.8707
"2005-03-31",4.9146
"2005-04-01",14.2391
"2005-04-02",19.9093
"2005-04-03",20.8856
"2005-04-04",17.2469
"2005-04-05",12.8541
"2005-04-06",19.6005
"2005-04-07",24.4323
"2005-04-08",18.1539
"2005-04-09",11.7078
"2005-04-10",12.7769
"2005-04-11",14.9696
"2005-04-12",19.7447
"2005-04-13",24.0692
"2005-04-14",23.2982
"2005-04-15",23.9121
"2005-04-16",24.4897
"2005-04-17",24.608
"2005-04-18",22.707
"2005-04-19",20.3802
"2005-04-20",16.752
"2005-04-21",18.7985
"2005-04-22",23.6836
"2005-04-23",24.3457
"2005-04-24",15.2346
"2005-04-25",15.4027
"2005-04-26",19.6457
"2005-04-27",20.2671
"2005-04-28",17.3281
"2005-04-29",14.0555
"2005-04-30",18.0387
"2005-05-01",18.6931
"2005-05-02",19.0716
"2005-05-03",19.2721
"2005-05-04",21.3725
"2005-05-05",24.5358
"2005-05-06",19.7362
"2005-05-07",17.0562
"2005-05-08",20.3495
"2005-05-09",22.9174
"2005-05-10",21.4788
"2005-05-11",16.4385
"2005-05-12",19.8826
"2005-05-13",21.8692
"2005-05-14",24.5403
"2005-05-15",25.8204
"2005-05-16",27.0854
"2005-05-17",22.0853
"2005-05-18",25.9621
"2005-05-19",29.9836
"2005-05-20",32.9496
"2005-05-21",31.9509
"2005-05-22",33.4874
"2005-05-23",33.0228
"2005-05-24",31.3212
"2005-05-25",30.4115
"2005-05-26",30.4685
"2005-05-27",29.9572
"2005-05-28",28.8429
"2005-05-29",27.7679
"2005-05-30",25.379
"2005-05-31",24.9648
"2005-06-01",28.6239
"2005-06-02",28.193
"2005-06-03",23.9581
"2005-06-04",22.6938
"2005-06-05",27.2364
"2005-06-06",26.6976
"2005-06-07",25.4131
"2005-06-08",26.7172
"2005-06-09",23.4544
"2005-06-10",24.3717
"2005-06-11",24.63
"2005-06-12",25.0172
"2005-06-13",27.1768
"2005-06-14",31.1759
"2005-06-15",31.8025
"2005-06-16",31.0147
"2005-06-17",29.6293
"2005-06-18",30.1278
"2005-06-19",31.7408
"2005-06-20",34.8516
"2005-06-21",35.3786
"2005-06-22",33.4289
"2005-06-23",31.8423
"2005-06-24",31.5803
"2005-06-25",31.2068
"2005-06-26",30.3864
"2005-06-27",31.7474
"2005-06-28",32.8212
"2005-06-29",31.7612
"2005-06-30",32.8758
"2005-07-01",33.4882
"2005-07-02",34.1722
"2005-07-03",31.949
"2005-07-04",33.5176
"2005-07-05",32.9704
"2005-07-06",33.2455
"2005-07-07",32.9569
"2005-07-08",33.5584
"2005-07-09",32.4495
"2005-07-10",32.6203
"2005-07-11",34.3172
"2005-07-12",36.6858
"2005-07-13",36.5053
"2005-07-14",37.0953
"2005-07-15",37.0398
"2005-07-16",37.801
"2005-07-17",37.581
"2005-07-18",36.363
"2005-07-19",37.2487
"2005-07-20",37.5102
"2005-07-21",37.0786
"2005-07-22",35.413
"2005-07-23",33.8889
"2005-07-24",31.7342
"2005-07-25",31.5164
"2005-07-26",30.8861
"2005-07-27",32.1409
"2005-07-28",33.5437
"2005-07-29",33.9273
"2005-07-30",33.7006
"2005-07-31",32.3647
"2005-08-01",30.9635
"2005-08-02",31.5342
"2005-08-03",30.4425
"2005-08-04",31.062
"2005-08-05",28.5586
"2005-08-06",28.4456
"2005-08-07",29.5568
"2005-08-08",29.497
"2005-08-09",29.6482
"2005-08-10",29.2809
"2005-08-11",28.3364
"2005-08-12",27.7531
"2005-08-13",28.7779
"2005-08-14",28.1127
"2005-08-15",25.9508
"2005-08-16",27.8385
"2005-08-17",28.426
"2005-08-18",28.3579
"2005-08-19",28.505
"2005-08-20",28.8292
"2005-08-21",30.0766
"2005-08-22",30.4736
"2005-08-23",28.9774
"2005-08-24",28.9531
"2005-08-25",29.6436
"2005-08-26",30.2728
"2005-08-27",30.812
"2005-08-28",30.399
"2005-08-29",31.755
"2005-08-30",31.2955
"2005-08-31",29.7773
"2005-09-01",30.9114
"2005-09-02",29.0091
"2005-09-03",27.1096
"2005-09-04",27.1192
"2005-09-05",29.3256
"2005-09-06",29.6233
"2005-09-07",29.8175
"2005-09-08",28.263
"2005-09-09",28.3812
"2005-09-10",25.1341
"2005-09-11",25.4089
"2005-09-12",24.2587
"2005-09-13",23.6609
"2005-09-14",22.9281
"2005-09-15",24.7165
"2005-09-16",26.6009
"2005-09-17",26.3218
"2005-09-18",27.164
"2005-09-19",28.4301
"2005-09-20",29.685
"2005-09-21",29.091
"2005-09-22",27.6986
"2005-09-23",27.5425
"2005-09-24",27.0915
"2005-09-25",26.4271
"2005-09-26",29.1236
"2005-09-27",28.8027
"2005-09-28",24.7653
"2005-09-29",20.424
"2005-09-30",23.2716
"2005-10-01",26.2714
"2005-10-02",25.6695
"2005-10-03",26.1933
"2005-10-04",25.2798
"2005-10-05",19.8912
"2005-10-06",22.5501
"2005-10-07",24.0902
"2005-10-08",24.7982
"2005-10-09",17.357
"2005-10-10",13.5835
"2005-10-11",16.2826
"2005-10-12",17.5371
"2005-10-13",18.8291
"2005-10-14",21.5644
"2005-10-15",18.8999
"2005-10-16",20.5261
"2005-10-17",23.0162
"2005-10-18",20.3216
"2005-10-19",15.173
