"DateTime","(deg C) Max Temperature (gridMET) at 1, 2020-01-22 to 2020-03-31"
"2020-01-22",4.1192
"2020-01-23",6.8817
"2020-01-24",8.4513
"2020-01-25",8.4611
"2020-01-26",9.3943
"2020-01-27",10.8099
"2020-01-28",11.8284
"2020-01-29",8.9215
"2020-01-30",10.7312
"2020-01-31",13.1081
"2020-02-01",14.5729
"2020-02-02",13.4269
"2020-02-03",10.935
"2020-02-04",10.5502
"2020-02-05",-0.0216
"2020-02-06",7.9359
"2020-02-07",13.7636
"2020-02-08",15.3671
"2020-02-09",10.9624
"2020-02-10",7.9362
"2020-02-11",3.671
"2020-02-12",7.1505
"2020-02-13",9.2804
"2020-02-14",11.9502
"2020-02-15",12.1685
"2020-02-16",15.5242
"2020-02-17",13.4214
"2020-02-18",10.5453
"2020-02-19",12.8407
"2020-02-20",10.9939
"2020-02-21",13.6145
"2020-02-22",9.5563
"2020-02-23",7.517
"2020-02-24",12.3864
"2020-02-25",6.5935
"2020-02-26",10.6125
"2020-02-27",15.5332
"2020-02-28",15.5913
"2020-02-29",15.1779
"2020-03-01",13.9772
"2020-03-02",12.0104
"2020-03-03",14.9779
"2020-03-04",16.7417
"2020-03-05",18.2108
"2020-03-06",17.7896
"2020-03-07",18.7429
"2020-03-08",14.328
"2020-03-09",15.2298
"2020-03-10",12.0192
"2020-03-11",14.213
"2020-03-12",14.7169
"2020-03-13",11.5529
"2020-03-14",13.1682
"2020-03-15",16.3309
"2020-03-16",17.8129
"2020-03-17",16.8121
"2020-03-18",12.6064
"2020-03-19",8.3662
"2020-03-20",11.1374
"2020-03-21",14.1807
"2020-03-22",13.4399
"2020-03-23",13.7435
"2020-03-24",16.1683
"2020-03-25",17.2072
"2020-03-26",16.5875
"2020-03-27",7.9293
"2020-03-28",10.9461
"2020-03-29",15.0966
"2020-03-30",15.1389
"2020-03-31",19.5819
