"DateTime","(deg C) Max Temperature (gridMET) at 1, 1980-12-01 to 1980-12-31"
"1980-12-01",14.9079
"1980-12-02",14.6739
"1980-12-03",16.1426
"1980-12-04",15.4834
"1980-12-05",12.7616
"1980-12-06",11.9403
"1980-12-07",8.2086
"1980-12-08",6.6095
"1980-12-09",5.0145
"1980-12-10",6.5557
"1980-12-11",8.2959
"1980-12-12",9.4738
"1980-12-13",9.4291
"1980-12-14",10.5052
"1980-12-15",10.6231
"1980-12-16",11.6299
"1980-12-17",12.9934
"1980-12-18",13.0005
"1980-12-19",11.605
"1980-12-20",10.9244
"1980-12-21",10.9051
"1980-12-22",11.1084
"1980-12-23",12.0357
"1980-12-24",10.3179
"1980-12-25",12.007
"1980-12-26",12.852
"1980-12-27",13.7926
"1980-12-28",13.2566
"1980-12-29",12.081
"1980-12-30",11.2049
"1980-12-31",8.4568
