"DateTime","(deg C) Min Temperature (gridMET) at 1, 1981-01-01 to 1994-12-28"
"1986-01-01",-5.4755
"1986-01-02",-6.2485
"1986-01-03",-4.7083
"1986-01-04",-5.9953
"1986-01-05",-6.7179
"1986-01-06",-6.6552
"1986-01-07",-9.4326
"1986-01-08",-9.8555
"1986-01-09",-8.6098
"1986-01-10",-7.0287
"1986-01-11",-5.3621
"1986-01-12",-5.4581
"1986-01-13",-5.6857
"1986-01-14",-5.029
"1986-01-15",-3.3155
"1986-01-16",-5.4274
"1986-01-17",-4.8658
"1986-01-18",-3.9224
"1986-01-19",-3.4034
"1986-01-20",-2.5315
"1986-01-21",-3.8084
"1986-01-22",-5.0241
"1986-01-23",-3.6815
"1986-01-24",-4.6723
"1986-01-25",-7.0398
"1986-01-26",-6.9323
"1986-01-27",-5.5616
"1986-01-28",-5.1313
"1986-01-29",-3.1048
"1986-01-30",-2.316
"1986-01-31",0.3371
"1986-02-01",0.4602
"1986-02-02",-0.3488
"1986-02-03",-2.3899
"1986-02-04",-4.2576
"1986-02-05",-6.6164
"1986-02-06",-5.3048
"1986-02-07",-8.5257
"1986-02-08",-8.9749
"1986-02-09",-8.1394
"1986-02-10",-11.5631
"1986-02-11",-11.684
"1986-02-12",-8.8105
"1986-02-13",-3.1473
"1986-02-14",-3.8563
"1986-02-15",-0.9555
"1986-02-16",-0.9593
"1986-02-17",-2.3353
"1986-02-18",0.5464
"1986-02-19",2.1848
"1986-02-20",1.0689
"1986-02-21",-2.476
"1986-02-22",-2.899
"1986-02-23",-0.4595
"1986-02-24",0.4767
"1986-02-25",2.8654
"1986-02-26",2.9728
"1986-02-27",2.3168
"1986-02-28",-1.5177
"1986-03-01",-0.0498
"1986-03-02",2.2292
"1986-03-03",1.6664
"1986-03-04",0.4722
"1986-03-05",-0.369
"1986-03-06",0.3159
"1986-03-07",0.9972
"1986-03-08",0.759
"1986-03-09",-0.7866
"1986-03-10",-3.5874
"1986-03-11",-2.5777
"1986-03-12",-4.2571
"1986-03-13",-3.5928
"1986-03-14",-3.0017
"1986-03-15",-4.5054
"1986-03-16",-2.4677
"1986-03-17",-3.3686
"1986-03-18",-5.1991
"1986-03-19",-6.2057
"1986-03-20",-4.2115
"1986-03-21",-1.5932
"1986-03-22",0.66
"1986-03-23",2.3494
"1986-03-24",2.1962
"1986-03-25",2.6645
"1986-03-26",3.6193
"1986-03-27",3.9409
"1986-03-28",5.7085
"1986-03-29",6.9397
"1986-03-30",5.357
"1986-03-31",4.5966
"1986-04-01",5.5398
"1986-04-02",0.6169
"1986-04-03",-2.5709
"1986-04-04",1.0139
"1986-04-05",1.1772
"1986-04-06",4.79
"1986-04-07",5.2241
"1986-04-08",3.8632
"1986-04-09",1.1905
"1986-04-10",2.5135
"1986-04-11",4.8425
"1986-04-12",2.9634
"1986-04-13",1.1391
"1986-04-14",-2.589
"1986-04-15",3.6983
"1986-04-16",4.994
"1986-04-17",1.1258
"1986-04-18",-2.4139
"1986-04-19",-2.2246
"1986-04-20",0.6153
"1986-04-21",5.6916
"1986-04-22",7.648
"1986-04-23",5.355
"1986-04-24",4.7678
"1986-04-25",2.8391
"1986-04-26",1.4504
"1986-04-27",-3.9444
"1986-04-28",1.4073
"1986-04-29",5.3778
"1986-04-30",4.9497
"1986-05-01",6.5098
"1986-05-02",8.0854
"1986-05-03",8.3384
"1986-05-04",7.1757
"1986-05-05",0.8301
"1986-05-06",1.8655
"1986-05-07",1.051
"1986-05-08",-1.6652
"1986-05-09",0.2797
"1986-05-10",1.6336
"1986-05-11",2.7428
"1986-05-12",3.9348
"1986-05-13",6.2346
"1986-05-14",5.4732
"1986-05-15",6.2723
"1986-05-16",5.4466
"1986-05-17",0.7946
"1986-05-18",3.2193
"1986-05-19",7.0792
"1986-05-20",9.1373
"1986-05-21",8.4029
"1986-05-22",6.1663
"1986-05-23",7.3977
"1986-05-24",8.9528
"1986-05-25",11.1097
"1986-05-26",10.8741
"1986-05-27",10.6087
"1986-05-28",10.2255
"1986-05-29",10.0022
"1986-05-30",9.8088
"1986-05-31",10.4408
"1986-06-01",10.4961
"1986-06-02",10.3263
"1986-06-03",10.4944
"1986-06-04",12.5019
"1986-06-05",12.4988
"1986-06-06",10.7649
"1986-06-07",9.8044
"1986-06-08",9.5522
"1986-06-09",8.4971
"1986-06-10",6.2474
"1986-06-11",10.0224
"1986-06-12",12.4499
"1986-06-13",12.3636
"1986-06-14",11.3191
"1986-06-15",11.2687
"1986-06-16",12.9143
"1986-06-17",14.6339
"1986-06-18",13.4254
"1986-06-19",13.9032
"1986-06-20",12.7495
"1986-06-21",11.9427
"1986-06-22",13.4742
"1986-06-23",14.8355
"1986-06-24",13.7581
"1986-06-25",10.8439
"1986-06-26",10.7562
"1986-06-27",14.3552
"1986-06-28",16.0079
"1986-06-29",15.9328
"1986-06-30",15.0647
"1986-07-01",15.1617
"1986-07-02",16.6446
"1986-07-03",16.0218
"1986-07-04",15.109
"1986-07-05",12.7579
"1986-07-06",12.0563
"1986-07-07",14.6258
"1986-07-08",13.7396
"1986-07-09",13.289
"1986-07-10",13.3118
"1986-07-11",13.397
"1986-07-12",14.5392
"1986-07-13",15.4729
"1986-07-14",17.2957
"1986-07-15",15.9936
"1986-07-16",12.4937
"1986-07-17",12.6247
"1986-07-18",12.9552
"1986-07-19",14.0488
"1986-07-20",14.7687
"1986-07-21",14.4352
"1986-07-22",10.9215
"1986-07-23",12.2001
"1986-07-24",13.2137
"1986-07-25",14.4863
"1986-07-26",13.7083
"1986-07-27",12.996
"1986-07-28",12.9537
"1986-07-29",15.6938
"1986-07-30",15.9505
"1986-07-31",15.9139
"1986-08-01",15.974
"1986-08-02",15.5086
"1986-08-03",15.621
"1986-08-04",15.5306
"1986-08-05",15.53
"1986-08-06",15.5505
"1986-08-07",15.896
"1986-08-08",16.1859
"1986-08-09",15.6901
"1986-08-10",15.6711
"1986-08-11",15.1227
"1986-08-12",15.4212
"1986-08-13",14.9722
"1986-08-14",14.7769
"1986-08-15",15.3883
"1986-08-16",15.5152
"1986-08-17",16.1334
"1986-08-18",16.2829
"1986-08-19",16.6637
"1986-08-20",16.3274
"1986-08-21",16.4276
"1986-08-22",15.4639
"1986-08-23",15.3804
"1986-08-24",13.3177
"1986-08-25",12.0438
"1986-08-26",12.7037
"1986-08-27",13.4279
"1986-08-28",12.9735
"1986-08-29",11.0923
"1986-08-30",11.3156
"1986-08-31",11.8333
"1986-09-01",12.4629
"1986-09-02",11.3423
"1986-09-03",13.0291
"1986-09-04",13.0844
"1986-09-05",13.7348
"1986-09-06",14.517
"1986-09-07",13.7295
"1986-09-08",13.2819
"1986-09-09",12.3862
"1986-09-10",9.2042
"1986-09-11",6.5537
"1986-09-12",7.1602
"1986-09-13",10.4384
"1986-09-14",8.7139
"1986-09-15",8.1077
"1986-09-16",9.1745
"1986-09-17",6.8489
"1986-09-18",7.677
"1986-09-19",8.0369
"1986-09-20",9.6085
"1986-09-21",9.8104
"1986-09-22",8.451
"1986-09-23",5.8576
"1986-09-24",2.6756
"1986-09-25",2.2006
"1986-09-26",2.6504
"1986-09-27",1.4205
"1986-09-28",4.2344
"1986-09-29",4.4481
"1986-09-30",2.9452
"1986-10-01",3.4371
"1986-10-02",5.3083
"1986-10-03",3.7327
"1986-10-04",1.484
"1986-10-05",3.1609
"1986-10-06",5.3758
